Method,Function,Time_us
frida_onleave_v8,recursive,1625899
frida_onleave_v8,array_ops,192749
frida_onleave_v8,memory_ops,1649551
frida_both_v8,hot_path,2715929
frida_both_v8,heavy_work,2698500
frida_both_v8,recursive,2669989
frida_both_v8,array_ops,292409
frida_both_v8,memory_ops,2774781
frida_both_v8,hot_path,2757960
frida_both_v8,heavy_work,2747371
frida_both_v8,recursive,2603558
frida_both_v8,array_ops,288531
frida_both_v8,memory_ops,2652958
frida_both_v8,hot_path,2722736
frida_both_v8,heavy_work,2673678
frida_both_v8,recursive,2676132
frida_both_v8,array_ops,284897
frida_both_v8,memory_ops,2680882
frida_both_v8,hot_path,2763280
frida_both_v8,heavy_work,2699350
frida_both_v8,recursive,2542720
frida_both_v8,array_ops,290464
frida_both_v8,memory_ops,2713348
frida_both_v8,hot_path,2724862
frida_both_v8,heavy_work,2770913
frida_both_v8,recursive,2651084
frida_both_v8,array_ops,290793
frida_both_v8,memory_ops,2677194
frida_both_v8,hot_path,2649844
frida_both_v8,heavy_work,2750658
frida_both_v8,recursive,2679363
frida_both_v8,array_ops,316094
frida_both_v8,memory_ops,2845807
frida_both_v8,hot_path,2862700
frida_both_v8,heavy_work,2915176
frida_both_v8,recursive,2797004
frida_both_v8,array_ops,313650
frida_both_v8,memory_ops,2837515
frida_both_v8,hot_path,2781647
frida_both_v8,heavy_work,2739334
frida_both_v8,recursive,2562803
frida_both_v8,array_ops,285740
frida_both_v8,memory_ops,2634287
frida_both_v8,hot_path,2749652
frida_both_v8,heavy_work,2753182
frida_both_v8,recursive,2664218
frida_both_v8,array_ops,292295
frida_both_v8,memory_ops,2688650
frida_both_v8,hot_path,2715166
frida_both_v8,heavy_work,2701072
frida_both_v8,recursive,2601593
frida_both_v8,array_ops,286191
frida_both_v8,memory_ops,2645258
frida_onenter_qjs,hot_path,1162855
frida_onenter_qjs,heavy_work,1239385
frida_onenter_qjs,recursive,1101401
frida_onenter_qjs,array_ops,138718
frida_onenter_qjs,memory_ops,1156097
frida_onenter_qjs,hot_path,1155291
frida_onenter_qjs,heavy_work,1216102
frida_onenter_qjs,recursive,1159440
frida_onenter_qjs,array_ops,143759
frida_onenter_qjs,memory_ops,1211682
frida_onenter_qjs,hot_path,1149085
frida_onenter_qjs,heavy_work,1291175
frida_onenter_qjs,recursive,1147644
frida_onenter_qjs,array_ops,139821
frida_onenter_qjs,memory_ops,1176451
frida_onenter_qjs,hot_path,1195123
frida_onenter_qjs,heavy_work,1237946
frida_onenter_qjs,recursive,1129535
frida_onenter_qjs,array_ops,143556
frida_onenter_qjs,memory_ops,1171724
frida_onenter_qjs,hot_path,1124564
frida_onenter_qjs,heavy_work,1233701
frida_onenter_qjs,recursive,1154636
frida_onenter_qjs,array_ops,139574
frida_onenter_qjs,memory_ops,1159988
frida_onenter_qjs,hot_path,1141789
frida_onenter_qjs,heavy_work,1236535
frida_onenter_qjs,recursive,1197090
frida_onenter_qjs,array_ops,146667
frida_onenter_qjs,memory_ops,1218341
frida_onenter_qjs,hot_path,1164716
frida_onenter_qjs,heavy_work,1224072
frida_onenter_qjs,recursive,1137471
frida_onenter_qjs,array_ops,143882
frida_onenter_qjs,memory_ops,1206873
frida_onenter_qjs,hot_path,1131563
frida_onenter_qjs,heavy_work,1234922
frida_onenter_qjs,recursive,1147298
frida_onenter_qjs,array_ops,146139
frida_onenter_qjs,memory_ops,1199140
frida_onenter_qjs,hot_path,1164958
frida_onenter_qjs,heavy_work,1241442
frida_onenter_qjs,recursive,1169256
frida_onenter_qjs,array_ops,146046
frida_onenter_qjs,memory_ops,1187386
frida_onenter_qjs,hot_path,1135773
frida_onenter_qjs,heavy_work,1256207
frida_onenter_qjs,recursive,1119109
frida_onenter_qjs,array_ops,139368
frida_onenter_qjs,memory_ops,1176823
frida_onleave_qjs,hot_path,873793
frida_onleave_qjs,heavy_work,920760
frida_onleave_qjs,recursive,838092
frida_onleave_qjs,array_ops,116308
frida_onleave_qjs,memory_ops,923430
frida_onleave_qjs,hot_path,839119
frida_onleave_qjs,heavy_work,911724
frida_onleave_qjs,recursive,820789
frida_onleave_qjs,array_ops,110451
frida_onleave_qjs,memory_ops,892005
frida_onleave_qjs,hot_path,842848
frida_onleave_qjs,heavy_work,917181
frida_onleave_qjs,recursive,830580
frida_onleave_qjs,array_ops,111326
frida_onleave_qjs,memory_ops,898381
frida_onleave_qjs,hot_path,878387
frida_onleave_qjs,heavy_work,970134
frida_onleave_qjs,recursive,868827
frida_onleave_qjs,array_ops,120471
frida_onleave_qjs,memory_ops,936229
frida_onleave_qjs,hot_path,864310
frida_onleave_qjs,heavy_work,911791
frida_onleave_qjs,recursive,848860
frida_onleave_qjs,array_ops,114917
frida_onleave_qjs,memory_ops,930225
frida_onleave_qjs,hot_path,829320
frida_onleave_qjs,heavy_work,918774
frida_onleave_qjs,recursive,825427
frida_onleave_qjs,array_ops,110441
frida_onleave_qjs,memory_ops,896477
frida_onleave_qjs,hot_path,840560
frida_onleave_qjs,heavy_work,924842
frida_onleave_qjs,recursive,841503
frida_onleave_qjs,array_ops,111280
frida_onleave_qjs,memory_ops,909408
frida_onleave_qjs,hot_path,910313
frida_onleave_qjs,heavy_work,955937
frida_onleave_qjs,recursive,893548
frida_onleave_qjs,array_ops,123204
frida_onleave_qjs,memory_ops,948336
frida_onleave_qjs,hot_path,854174
frida_onleave_qjs,heavy_work,924891
frida_onleave_qjs,recursive,831584
frida_onleave_qjs,array_ops,111785
frida_onleave_qjs,memory_ops,886690
frida_onleave_qjs,hot_path,847086
frida_onleave_qjs,heavy_work,957087
frida_onleave_qjs,recursive,853487
frida_onleave_qjs,array_ops,113688
frida_onleave_qjs,memory_ops,913121
frida_both_qjs,hot_path,1111872
frida_both_qjs,heavy_work,1213539
frida_both_qjs,recursive,1109238
frida_both_qjs,array_ops,140392
frida_both_qjs,memory_ops,1163929
frida_both_qjs,hot_path,1168052
frida_both_qjs,heavy_work,1226954
frida_both_qjs,recursive,1135352
frida_both_qjs,array_ops,144654
frida_both_qjs,memory_ops,1182739
frida_both_qjs,hot_path,1165768
frida_both_qjs,heavy_work,1226157
frida_both_qjs,recursive,1090520
frida_both_qjs,array_ops,137942
frida_both_qjs,memory_ops,1135260
frida_both_qjs,hot_path,1071699
frida_both_qjs,heavy_work,1154001
frida_both_qjs,recursive,1060847
frida_both_qjs,array_ops,134767
frida_both_qjs,memory_ops,1131684
frida_both_qjs,hot_path,1103980
frida_both_qjs,heavy_work,1203191
frida_both_qjs,recursive,1110631
frida_both_qjs,array_ops,142639
frida_both_qjs,memory_ops,1153232
frida_both_qjs,hot_path,1141889
frida_both_qjs,heavy_work,1216968
frida_both_qjs,recursive,1157740
frida_both_qjs,array_ops,141451
frida_both_qjs,memory_ops,1188678
frida_both_qjs,hot_path,1123479
frida_both_qjs,heavy_work,1246000
frida_both_qjs,recursive,1088997
frida_both_qjs,array_ops,139676
frida_both_qjs,memory_ops,1132926
frida_both_qjs,hot_path,1122825
frida_both_qjs,heavy_work,1236847
frida_both_qjs,recursive,1140220
frida_both_qjs,array_ops,143146
frida_both_qjs,memory_ops,1154668
frida_both_qjs,hot_path,1178628
frida_both_qjs,heavy_work,1342311
frida_both_qjs,recursive,1149936
frida_both_qjs,array_ops,149002
frida_both_qjs,memory_ops,1220741
frida_both_qjs,hot_path,1136282
frida_both_qjs,heavy_work,1218725
frida_both_qjs,recursive,1130179
frida_both_qjs,array_ops,140763
frida_both_qjs,memory_ops,1192292
frida_cmodule,hot_path,291482
frida_cmodule,heavy_work,374330
frida_cmodule,recursive,295081
frida_cmodule,array_ops,59053
frida_cmodule,memory_ops,310366
frida_cmodule,hot_path,289162
frida_cmodule,heavy_work,362348
frida_cmodule,recursive,281329
frida_cmodule,array_ops,55724
frida_cmodule,memory_ops,299029
frida_cmodule,hot_path,282034
frida_cmodule,heavy_work,373674
frida_cmodule,recursive,290742
frida_cmodule,array_ops,58219
frida_cmodule,memory_ops,301562
frida_cmodule,hot_path,280037
frida_cmodule,heavy_work,373685
frida_cmodule,recursive,292835
frida_cmodule,array_ops,57317
frida_cmodule,memory_ops,297122
frida_cmodule,hot_path,306553
frida_cmodule,heavy_work,371438
frida_cmodule,recursive,288375
frida_cmodule,array_ops,57305
frida_cmodule,memory_ops,307065
frida_cmodule,hot_path,296172
frida_cmodule,heavy_work,370847
frida_cmodule,recursive,290724
frida_cmodule,array_ops,58548
frida_cmodule,memory_ops,310732
frida_cmodule,hot_path,283657
frida_cmodule,heavy_work,374025
frida_cmodule,recursive,296275
frida_cmodule,array_ops,58386
frida_cmodule,memory_ops,308857
frida_cmodule,hot_path,298224
frida_cmodule,heavy_work,377938
frida_cmodule,recursive,291319
frida_cmodule,array_ops,60544
frida_cmodule,memory_ops,314126
frida_cmodule,hot_path,283567
frida_cmodule,heavy_work,367470
